DN,objectClass,sAMAccountName,sn,givenName,userPrincipalNAme,company
"cn=Blart Versenwald,ou=MolkeTeam,dc=gyakorlat,dc=local",user,bversenwald,Blart,Versenwald,bversenw­ald@gyakorlat.local,"molke, Inc"
"cn=Emily Saunders,ou=MolkeTeam,dc=gyakorlat,dc=local",user,esaunders,Emily,Saunders,esaunders@gyakorlat.local,"molke, Inc"
"CN=NeKeta Argrow,OU=MolkeTeam,dc=gyakorlat,DC=local",user,NeKeta,Argrow,NeKeta,NeKeta@gyakorlat.local,"molke, Inc"
"CN=Arno Harteveld,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Arno,Harteveld,Arno,Arno@gyakorlat.local,"molke, Inc"
"CN=Terri Chudzik,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Terri,Chudzik,Terri,Terri@gyakorlat.local,"molke, Inc"
"CN=Andrea Dunker,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Andrea,Dunker,Andrea,Andrea@gyakorlat.local,"molke, Inc"
"CN=Ryan Ichtig,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Ryan,Ichig,Ryan,Ryan@gyakorlat.local,"molke, Inc"
"CN=Chistine Koch,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Chistine,Koch,Chistine,Chistine@gyakorlat.local,"molke, Inc"
"CN=Ed Meadows,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Ed,Meadows,Ed,Ed@gyakorlat.local,"molke, Inc"
"CN=Candy Spoon,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Candy,Spoon,Candy,Candy@gyakorlat.local,"molke, Inc"
"CN=Kern Sutton,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Kern,Sutton,Kern,Kern@gyakorlat.local,"molke, Inc"
"CN=Charlotte Weiss,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Charlotte,Weiss,Charlotte,Charlotte@gyakorlat.local,"molke, Inc"
"CN=Martin Berka,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Martin,Berka,Martin,Martin@gyakorlat.local,"molke, Inc"
"CN=Adam Carter,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Adam,Carter,Adam,Adam@gyakorlat.local,"molke, Inc"
"CN=Sten Faerch,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Sten,Faerch,Sten,Sten@gyakorlat.local,"molke, Inc"
"CN=Pedro Gutierrez,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Pedro,Gutierrez,Pedro,Pedro@gyakorlat.local,"molke, Inc"
"CN=Venky Krishnan,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Venky,Krishnan,Venky,Venky@gyakorlat.local,"molke, Inc"
"CN=Spencer Low,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Spencer,Low,Spencer,Spencer@gyakorlat.local,"molke, Inc"
"CN=Tete Mensa-Annan,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Tete,Mensa-Annan,Tete,Tete@gyakorlat.local,"molke, Inc"
"CN=Don Roessler,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Don,Roessler,Don,Don@gyakorlat.local,"molke, Inc"
"CN=Arthur Yasinski,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Arthur,Yasinski,Arthur,Arthur@gyakorlat.local,"molke, Inc"
"CN=Michael Alexander,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Michael,Alexander,Michael,Michael@gyakorlat.local,"molke, Inc"
"CN=Scott Bishop,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Scott,Bishop,Scott,Scott@gyakorlat.local,"molke, Inc"
"CN=Mathew Charles,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Mathew,Charles,Mathew,Mathew@gyakorlat.local,"molke, Inc"
"CN=Neil Charney,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Neil,Charney,Neil,Neil@gyakorlat.local,"molke, Inc"
"CN=Bart Duncan,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Bart,Duncan,Bart,Bart@gyakorlat.local,"molke, Inc"
"CN=Jens Geschwandtner,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Jens,Geschwandtner,Jens,Jens@gyakorlat.local,"molke, Inc"
"CN=Sidney Higa,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Sidney,Higa,Sidney,Sidney@gyakorlat.local,"molke, Inc"
"CN=Tengiz Kharatishvili,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Tengiz,Kharatishvili,Tengiz,Tengiz@gyakorlat.local,"molke, Inc"
"CN=Anders Madsen,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Anders,Madsen,Anders,Anders@gyakorlat.local,"molke, Inc"
"CN=Bobby Moore,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Bobby,Moore,Bobby,Bobby@gyakorlat.local,"molke, Inc"
"CN=Mandar Samant,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Mandar,Samant,Mandar,Mandar@gyakorlat.local,"molke, Inc"
"CN=Susanna Stubberod,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Susanna,Stubberod,Susanna,Susanna@gyakorlat.local,"molke, Inc"
"CN=Felhofer Walter,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Felhofer,Walter,Felhofer,Felhofer@gyakorlat.local,"molke, Inc"
"CN=Peter Waxman,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Peter,Waxman,Peter,Peter@gyakorlat.local,"molke, Inc"
"CN=Norimichi Yonekura,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Norimichi,Yonekura,Norimichi,Norimichi@gyakorlat.local,"molke, Inc"
"CN=Marko Zajc,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Marko,Zajc,Marko,Marko@gyakorlat.local,"molke, Inc"
"CN=Stephan Adolphi,OU=MolkeTeam,dc=gyakorlat,DC=local",user,Stephan,Adolphi,Stephan,Stephan@gyakorlat.local,"molke, Inc"
