DN,objectClass,sAMAccountName,sn,givenName,userPrincipalName,userAccountControl
"cn=Rigó Sarolta,ou=Nok,ou=Emberek,dc=terminal,dc=local",user,rigsa,Rigó,Sarolta,rigsa@terminal.local,8389152
"cn=Tompos Gyula,ou=Ferfiak,ou=Emberek,dc=terminal,dc=local",user,tomgy,Tompos,Gyula,tomgy@terminal.local,8389152
"cn=Truppel Imre,ou=Ferfiak,ou=Emberek,dc=terminal,dc=local",user,truim,Truppel,Imre,truim@terminal.local,8389152
"cn=Mihály Ibolya,ou=Nok,ou=Emberek,dc=terminal,dc=local",user,mihib,Mihály,Ibolya,mihib@terminal.local,8389152
"cn=Dobos Krisztián,ou=Ferfiak,ou=Emberek,dc=terminal,dc=local",user,dobkr,Dobos,Krisztián,dobkr@terminal.local,8389152
"cn=Petrus Katalin,ou=Nok,ou=Emberek,dc=terminal,dc=local",user,petka,Petrus,Katalin,petka@terminal.local,8389152
"cn=Nagy Nikolett,ou=Nok,ou=Emberek,dc=terminal,dc=local",user,nagni,Nagy,Nikolett,nagni@terminal.local,8389152
"cn=Bagó Zsuzsa,ou=Nok,ou=Emberek,dc=terminal,dc=local",user,bagzs,Bagó,Zsuzsa,bagzs@terminal.local,8389152
"cn=Csicsay Edit,ou=Nok,ou=Emberek,dc=terminal,dc=local",user,csied,Csicsay,Edit,csied@terminal.local,8389152
"cn=Botka Edina,ou=Nok,ou=Emberek,dc=terminal,dc=local",user,boted,Botka,Edina,boted@terminal.local,8389152
"cn=Hegedûs Zsolt,ou=Ferfiak,ou=Emberek,dc=terminal,dc=local",user,hegzs,Hegedûs,Zsolt,hegzs@terminal.local,8389152
"cn=Valicsek Antal,ou=Ferfiak,ou=Emberek,dc=terminal,dc=local",user,valan,Valicsek,Antal,valan@terminal.local,8389152
"cn=Nagy Etelka,ou=Nok,ou=Emberek,dc=terminal,dc=local",user,naget,Nagy,Etelka,naget@terminal.local,8389152
"cn=Hebrank Erzsébet,ou=Nok,ou=Emberek,dc=terminal,dc=local",user,heber,Hebrank,Erzsébet,heber@terminal.local,8389152
"cn=Ivicz Anna,ou=Nok,ou=Emberek,dc=terminal,dc=local",user,ivian,Ivicz,Anna,ivian@terminal.local,8389152
"cn=Madari Ilona,ou=Nok,ou=Emberek,dc=terminal,dc=local",user,madil,Madari,Ilona,madil@terminal.local,8389152
"cn=Antal Ernõ,ou=Ferfiak,ou=Emberek,dc=terminal,dc=local",user,anter,Antal,Ernõ,anter@terminal.local,8389152
"cn=Farkas Ibolya,ou=Nok,ou=Emberek,dc=terminal,dc=local",user,farib,Farkas,Ibolya,farib@terminal.local,8389152
"cn=Kovács Csaba,ou=Ferfiak,ou=Emberek,dc=terminal,dc=local",user,kovcs,Kovács,Csaba,kovcs@terminal.local,8389152
"cn=Havasi Rita,ou=Nok,ou=Emberek,dc=terminal,dc=local",user,havri,Havasi,Rita,havri@terminal.local,8389152
"cn=Karsay Nikolett,ou=Nok,ou=Emberek,dc=terminal,dc=local",user,karni,Karsay,Nikolett,karni@terminal.local,8389152
"cn=Farkas Edina,ou=Nok,ou=Emberek,dc=terminal,dc=local",user,fared,Farkas,Edina,fared@terminal.local,8389152
"cn=Stezák Mihály,ou=Ferfiak,ou=Emberek,dc=terminal,dc=local",user,stemi,Stezák,Mihály,stemi@terminal.local,8389152
"cn=Huber Zoltán,ou=Ferfiak,ou=Emberek,dc=terminal,dc=local",user,hubzo,Huber,Zoltán,hubzo@terminal.local,8389152
"cn=Szubanek Gabriella,ou=Nok,ou=Emberek,dc=terminal,dc=local",user,szuga,Szubanek,Gabriella,szuga@terminal.local,8389152
"cn=Erdõs Mihály,ou=Ferfiak,ou=Emberek,dc=terminal,dc=local",user,erdmi,Erdõs,Mihály,erdmi@terminal.local,8389152
"cn=Papp István,ou=Ferfiak,ou=Emberek,dc=terminal,dc=local",user,papis,Papp,István,papis@terminal.local,8389152
"cn=Lukács Zsolt,ou=Ferfiak,ou=Emberek,dc=terminal,dc=local",user,lukzs,Lukács,Zsolt,lukzs@terminal.local,8389152

